metabase,metabase,20660,7151,5098,2053
google,leveldb,20637,574,471,103
openai,gym,20630,1108,1012,96
facebook,flow,20604,6290,3875,2415
remy,nodemon,20552,1290,1279,11
akveo,ngx-admin,20491,1540,1257,283
rapid7,metasploit-framework,20475,3845,3160,685
niklasvh,html2canvas,20441,1887,1308,579
redux-saga,redux-saga,20359,1314,1161,153
gorhill,uBlock,20342,3449,3377,72
littlecodersh,ItChat,20338,800,592,208
pypa,pipenv,20282,3021,2640,381
fighting41love,funNLP,20267,26,25,1
sorrycc,awesome-javascript,20249,71,54,17
codemirror,CodeMirror,20224,3670,3324,346
Tencent,wepy,20218,2019,1713,306
FezVrasta,bootstrap-material-design,20142,1083,1028,55
ggreer,the_silver_searcher,20114,740,388,352
vim,vim,20108,3627,2696,931
kriasoft,react-starter-kit,20098,1147,708,439
cypress-io,cypress,20084,5424,4220,1204
SortableJS,Sortable,20076,1399,1169,230
microsoft,monaco-editor,20009,1789,1427,362
dimsemenov,PhotoSwipe,20005,1516,1016,500
JedWatson,react-select,19999,2676,1474,1202
syl20bnr,spacemacs,19989,7344,5005,2339
wagoodman,dive,19978,187,134,53
ovity,octotree,19972,573,513,60
CymChad,BaseRecyclerViewAdapterHelper,19950,2919,2771,148
koalaman,shellcheck,19938,1673,1121,552
aria2,aria2,19933,1343,648,695
mbeaudru,modern-js-cheatsheet,19885,42,36,6
facebookarchive,pop,19843,255,211,44
hashicorp,vagrant,19836,8410,8002,408
donnemartin,interactive-coding-challenges,19822,52,29,23
GoogleChrome,lighthouse,19793,6784,6365,419
google,iosched,19782,199,170,29
ReactiveCocoa,ReactiveCocoa,19782,1988,1945,43
angular,components,19779,10883,8756,2127
bevacqua,dragula,19763,467,289,178
microsoft,calculator,19757,576,435,141
Meituan-Dianping,mpvue,19746,1659,1256,403
kahun,awesome-sysadmin,19740,92,21,71
Reactive-Extensions,RxJS,19737,874,643,231
ageron,handson-ml,19735,483,388,95
go-gitea,gitea,19717,5399,4114,1285
sharkdp,bat,19691,560,534,26
BurntSushi,ripgrep,19679,1070,1026,44
LisaDziuba,Awesome-Design-Tools,19679,24,21,3
